,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
137,Rico Dowdle\rico-dowdle-1,South Carolina,SEC,3,6,92,15.3,1,34,98,2.9,1,40,190,4.8,2
138,Ryan Izzo\ryan-izzo-1,Florida State,ACC,1,3,46,15.3,0,0,0,,0,3,46,15.3,0
139,Allen Staggers\allen-staggers-1,Southern Mississippi,CUSA,3,9,137,15.2,2,0,0,,0,9,137,15.2,2
140,Kwadarrius Smith\kwadarrius-smith-1,Akron,MAC,3,9,137,15.2,1,0,0,,0,9,137,15.2,1
141,Justin Hobbs\justin-hobbs-1,Tulsa,American,3,16,242,15.1,1,0,0,,0,16,242,15.1,1
142,Lucky Jackson\lucky-jackson-1,Western Kentucky,CUSA,3,13,196,15.1,1,0,0,,0,13,196,15.1,1
143,Papi White\papi-white-1,Ohio,MAC,3,10,150,15.0,1,1,0,0.0,0,11,150,13.6,1
144,Juwan Johnson\juwan-johnson-1,Penn State,Big Ten,4,7,105,15.0,0,0,0,,0,7,105,15.0,0
145,Terry Juniel\terry-juniel-1,UTEP,CUSA,3,7,105,15.0,0,0,0,,0,7,105,15.0,0
146,Austin Proehl\austin-proehl-1,North Carolina,ACC,3,15,223,14.9,1,0,0,,0,15,223,14.9,1
147,Jalen McCleskey\jalen-mccleskey-1,Oklahoma State,Big 12,3,12,179,14.9,3,0,0,,0,12,179,14.9,3
148,Kerry Thomas\kerry-thomas-1,UTSA,CUSA,2,9,134,14.9,2,0,0,,0,9,134,14.9,2
149,David Sills\david-sills-1,West Virginia,Big 12,3,18,266,14.8,5,0,0,,0,18,266,14.8,5
150,Josh Stewart\josh-stewart-3,Tulsa,American,3,6,89,14.8,0,0,0,,0,6,89,14.8,0
151,Olabisi Johnson\olabisi-johnson-1,Colorado State,MWC,4,16,235,14.7,0,0,0,,0,16,235,14.7,0
152,Jeremiah Booker\jeremiah-booker-1,Kansas,Big 12,3,11,162,14.7,1,0,0,,0,11,162,14.7,1
